name,parcelnumber
Charlottesville High School,43A001000
Buford Middle School,230192000
Burley Middle School,360001000
Walker Upper Elementary,420001000
Burnley-Moran Elementary,500001000
Clark Elementary,570065000
Greenbrier Elementary,43C071000
Jackson-Via Elementary,21B001000
Johnson Elementary,22A001000
Venable Elementary,40118000
